Longitude,Latitude,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy,ClusterIds
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
129.5,-14.5,13763.8,0.0,450.0,3468.0,3507.0,283.0,303.0,299936.0,303245.0,0.0,6.0,1607.98,1.3,3.83,150.0,1.0,10.0,2.0
135.5,-14.5,13022.4,3.0,350.0,3295.0,3472.0,287.0,303.0,298205.0,303100.0,0.0,8.0,44.7804,0.87,1.13,75.0,2.0,4.5,2.0
136.5,-14.5,13552.6,3.83,300.0,3288.0,3471.0,287.1,303.3,298123.0,303127.0,0.0,0.0,142.438,0.61,0.81,0.0,2.0,4.5,2.0
141.5,-14.5,14931.8,3.0,350.0,3328.0,3465.0,288.0,302.0,299170.0,303320.0,1.0,11.0,3496.37,1.06,1.45,0.0,2.0,4.5,2.0
143.5,-14.5,14454.1,3.0,250.0,3336.0,3494.0,289.0,302.0,298625.0,302636.0,2.0,13.0,2824.52,0.27,2.66,300.0,2.0,4.5,2.0
144.5,-14.5,13036.8,8.0,250.0,3330.0,3531.0,290.0,301.0,298051.0,302093.0,0.0,6.0,2315.61,0.38,1.19,300.0,2.0,4.5,2.0
145.5,-14.5,11771.2,18.33,250.0,3338.0,3537.0,289.5,301.1,298047.0,302103.0,0.68,5.13,4383.28,0.12,0.29,210.0,2.0,4.5,2.0
124.5,-15.5,12493.2,3.0,250.0,3466.0,3486.0,285.0,302.0,299923.0,302160.0,0.0,3.0,1504.43,0.6,1.1,0.0,1.0,8.0,2.0
125.5,-15.5,8103.65,0.0,250.0,3469.0,3487.0,281.0,304.0,300111.0,302556.0,0.0,7.0,3672.19,0.2,2.2,300.0,1.0,8.0,2.0
128.5,-15.5,11446.9,0.0,350.0,3484.0,3510.0,280.0,305.0,299866.0,303172.0,0.0,6.0,3253.56,-9999.0,11.37,300.0,1.0,10.0,2.0
129.5,-15.5,11681.4,0.0,350.0,3478.0,3511.0,279.0,305.0,299856.0,303244.0,0.0,8.0,3019.06,-9999.0,1.97,150.0,1.0,10.0,2.0
135.5,-15.5,12618.3,3.0,250.0,3300.0,3475.0,285.0,305.0,298137.0,303122.0,0.0,10.0,1214.0,0.41,1.69,75.0,2.0,4.5,2.0
136.5,-15.5,12739.2,3.0,250.0,3304.0,3476.0,287.0,303.0,298123.0,303127.0,0.0,5.0,45.6672,0.82,1.03,75.0,2.0,4.5,2.0
137.5,-15.5,11843.8,3.0,250.0,3314.0,3483.0,285.4,303.7,297853.0,303217.0,0.0,0.0,56.5254,0.35,0.72,0.0,2.0,4.5,2.0
141.5,-15.5,13909.8,3.0,250.0,3319.0,3473.0,286.0,303.0,298393.0,303463.0,1.0,9.0,2016.49,1.22,1.79,0.0,2.0,4.5,2.0
145.5,-15.5,8935.54,55.86,235.71,3292.0,3531.0,288.4,300.5,297840.0,302163.0,0.85,0.0,3447.69,0.17,0.41,0.0,2.0,4.5,2.0
122.5,-16.5,14091.0,0.38,162.5,3467.0,3488.0,280.9,305.0,299763.0,301860.0,0.0,0.0,4169.77,0.5,1.02,0.0,1.0,8.0,5.0
123.5,-16.5,13086.4,1.5,200.0,3467.0,3488.0,281.0,305.0,299763.0,301860.0,0.0,4.0,792.547,0.9,1.72,0.0,1.0,8.0,5.0
124.5,-16.5,10489.2,3.0,250.0,3467.0,3488.0,282.0,303.0,299763.0,301860.0,0.0,4.0,3075.27,0.49,1.85,25.0,1.0,8.0,5.0
137.5,-16.5,11431.4,3.0,250.0,3315.0,3484.0,284.0,304.0,297739.0,303359.0,0.0,6.0,1963.89,0.39,1.32,25.0,2.0,4.5,5.0
138.5,-16.5,11251.8,3.0,250.0,3326.0,3492.0,281.6,304.5,297357.0,303663.0,0.0,0.0,55.5558,0.72,1.54,0.0,2.0,4.5,5.0
139.5,-16.5,11374.1,2.25,225.0,3316.0,3485.0,280.0,305.0,297516.0,303636.0,0.0,7.0,573.146,0.75,2.16,0.0,2.0,4.5,5.0
140.5,-16.5,12046.9,2.0,216.67,3308.0,3480.0,281.5,304.4,297460.0,303697.0,0.4,0.0,1560.65,0.87,2.75,0.0,2.0,4.5,5.0
141.5,-16.5,12387.0,3.0,250.0,3315.0,3477.0,283.0,304.0,297955.0,303578.0,1.0,8.0,1441.41,1.86,3.37,0.0,2.0,4.5,5.0
145.5,-16.5,8837.52,75.0,250.0,3311.0,3533.0,288.0,300.0,297679.0,302145.0,1.0,8.0,3279.0,0.18,0.58,600.0,2.0,4.5,5.0
122.5,-17.5,13007.0,0.0,150.0,3476.0,3502.0,282.0,305.0,299415.0,301881.0,0.0,3.0,3167.52,0.83,1.3,0.0,1.0,8.0,5.0
123.5,-17.5,12502.6,0.0,150.0,3474.0,3500.0,280.0,306.0,299465.0,301878.0,0.0,4.0,1555.49,-9999.0,-9999.0,25.0,1.0,8.0,5.0
139.5,-17.5,11425.4,3.0,250.0,3316.0,3485.0,280.0,305.0,297434.0,303688.0,0.0,5.0,41.6402,1.08,2.73,25.0,2.0,4.5,5.0
140.5,-17.5,11573.5,0.0,150.0,3314.0,3484.0,280.0,305.0,297460.0,303697.0,0.0,4.0,40.2619,1.22,3.33,25.0,2.0,4.5,5.0
145.5,-17.5,5339.44,75.0,150.0,3324.0,3534.0,287.0,300.0,297380.0,302140.0,1.0,9.0,4016.32,-9999.0,0.16,600.0,2.0,4.5,5.0
146.5,-17.5,6295.1,66.86,178.57,3321.0,3538.0,286.7,300.5,297397.0,302130.0,0.9,0.0,3850.59,0.17,0.35,0.0,2.0,4.5,5.0
121.5,-18.5,12431.2,0.0,150.0,3493.0,3529.0,277.6,307.3,298720.0,301923.0,0.0,0.0,3481.27,0.42,0.65,0.0,1.0,6.0,5.0
122.5,-18.5,10899.4,0.0,150.0,3490.0,3524.0,277.0,308.0,298862.0,301914.0,0.0,4.0,3618.4,0.73,1.86,25.0,1.0,8.0,5.0
